tranid,stock,symbol,exchange,currency,price,approved
1,"Sequential Brands Group, Inc.",SQBG,NASDAQ,EUR,23,FALSE
2,"World Wrestling Entertainment, Inc.",WWE,NYSE,EUR,53,FALSE
3,Washington Real Estate Investment Trust,WRE,NYSE,CNY,84,FALSE
4,Celyad SA,CYAD,NASDAQ,CNY,9,FALSE
5,"Magellan Health, Inc.",MGLN,NASDAQ,LTL,15,FALSE
6,"Bankrate, Inc.",RATE,NYSE,CNY,12,FALSE
7,"Alliance Holdings GP, L.P.",AHGP,NASDAQ,PEN,77,FALSE
8,"L3 Technologies, Inc.",LLL,NYSE,RUB,47,FALSE
9,"Gores Holdings II, Inc.",GSHTU,NASDAQ,SEK,63,FALSE
10,Cummins Inc.,CMI,NYSE,VEF,85,FALSE
11,Colonial Investment Grade Municipal Trust,CXH,NYSE,CNY,35,FALSE
12,Tekla Healthcare Opportunies Fund,THQ,NYSE,JPY,17,FALSE
13,Synalloy Corporation,SYNL,NASDAQ,CNY,44,FALSE
14,"Alaska Communications Systems Group, Inc.",ALSK,NASDAQ,RUB,14,FALSE
15,"CBL & Associates Properties, Inc.",CBL^D,NYSE,PHP,76,FALSE
16,"CBL & Associates Properties, Inc.",CBL^D,NYSE,EUR,12,FALSE
17,"First Interstate BancSystem, Inc.",FIBK,NASDAQ,GEL,69,FALSE
18,Kitov Pharmaceuticals Holdings Ltd.,KTOV,NASDAQ,BRL,99,FALSE
19,Gigamon Inc.,GIMO,NYSE,COP,15,FALSE
20,Manulife Financial Corp,MFC,NYSE,COP,82,FALSE
21,Rowan Companies plc,RDC,NYSE,EUR,68,FALSE
22,State Street Corporation,STT^G,NYSE,CAD,52,FALSE
23,Invesco Municipal Income Opportunities Trust,OIA,NYSE,EUR,73,FALSE
24,"General American Investors, Inc.",GAM,NYSE,RUB,83,FALSE
25,"My Size, Inc.",MYSZ,NASDAQ,RUB,50,FALSE
26,"Sunshine Bancorp, Inc.",SBCP,NASDAQ,CNY,34,FALSE
27,"Badger Meter, Inc.",BMI,NYSE,CNY,15,FALSE
28,Sussex Bancorp,SBBX,NASDAQ,CNY,62,FALSE
29,"Cascadian Therapeutics, Inc.",CASC,NASDAQ,EUR,41,FALSE
30,"Second Sight Medical Products, Inc.",EYESW,NASDAQ,THB,26,FALSE
31,"BMC Stock Holdings, Inc.",BMCH,NASDAQ,BRL,42,FALSE
32,"Organovo Holdings, Inc.",ONVO,NASDAQ,CAD,90,FALSE
33,Semiconductor  Manufacturing International Corporation,SMI,NYSE,GTQ,21,FALSE
34,Petrobras Argentina S.A.,PZE,NYSE,EUR,70,FALSE
35,"MFA Financial, Inc.",MFA^B,NYSE,MXN,82,FALSE
36,"National Security Group, Inc.",NSEC,NASDAQ,NZD,64,FALSE
37,"Gabelli Equity Trust, Inc. (The)",GAB^J,NYSE,BRL,32,FALSE
38,"People&#39;s United Financial, Inc.",PBCT,NASDAQ,BRL,52,FALSE
39,FelCor Lodging Trust Incorporated,FCH,NYSE,LTL,19,FALSE
40,Delphi Automotive plc,DLPH,NYSE,CNY,17,FALSE
41,"Dominion Energy Midstream Partners, LP",DM,NYSE,CNY,37,FALSE
42,Star Bulk Carriers Corp.,SBLK,NASDAQ,EUR,71,FALSE
43,iShares MSCI USA ESG Optimized ETF,ESGU,NASDAQ,CNY,21,FALSE
44,"NextEra Energy, Inc.",NEE^K,NYSE,PLN,58,FALSE
45,Quinpario Acquisition Corp. 2,QPACW,NASDAQ,CZK,55,FALSE
46,OncoGenex Pharmaceuticals Inc.,OGXI,NASDAQ,IDR,38,FALSE
47,"Harte-Hanks, Inc.",HHS,NYSE,CNY,89,FALSE
48,"Acorn International, Inc.",ATV,NYSE,PHP,7,FALSE
49,Lipocine Inc.,LPCN,NASDAQ,PHP,19,FALSE
50,"Interpace Diagnostics Group, Inc.",IDXG,NASDAQ,BRL,82,FALSE
51,Ivy NextShares,IVFGC,NASDAQ,CUP,8,FALSE
52,"Entegris, Inc.",ENTG,NASDAQ,YER,99,FALSE
53,Madison Covered Call & Equity Strategy Fund,MCN,NYSE,BRL,61,FALSE
54,"TechTarget, Inc.",TTGT,NASDAQ,CNY,90,FALSE
55,RXi Pharmaceuticals Corporation,RXIIW,NASDAQ,BRL,36,FALSE
56,"American Financial Group, Inc.",AFW.CL,NYSE,CNY,14,FALSE
57,Gabelli NextShares Trust,MOGLC,NASDAQ,CNY,51,FALSE
58,Luna Innovations Incorporated,LUNA,NASDAQ,ALL,73,FALSE
59,"Spartan Motors, Inc.",SPAR,NASDAQ,HRK,61,FALSE
60,"Pulse Biosciences, Inc",PLSE,NASDAQ,IDR,71,FALSE
61,Barings Participation Investors,MPV,NYSE,RUB,61,FALSE
62,"JPMorgan China Region Fund, Inc.",JFC,NYSE,PEN,78,FALSE
63,"The Hain Celestial Group, Inc.",HAIN,NASDAQ,BDT,80,FALSE
64,"Just Energy Group, Inc.",JE,NYSE,CNY,19,FALSE
65,Differential Brands Group Inc.,DFBG,NASDAQ,MXN,32,FALSE
66,Sanchez Energy Corporation,SN,NYSE,PLN,5,FALSE
67,"Paramount Group, Inc.",PGRE,NYSE,IDR,58,FALSE
68,Cimarex Energy Co,XEC,NYSE,SEK,67,FALSE
69,"Southern National Bancorp of Virginia, Inc.",SONA,NASDAQ,IDR,81,FALSE
70,"Unity Bancorp, Inc.",UNTY,NASDAQ,IDR,20,FALSE
71,"New York Mortgage Trust, Inc.",NYMTP,NASDAQ,CNY,90,FALSE
72,Medallion Financial Corp.,MFINL,NASDAQ,CNY,17,FALSE
73,"Stoneridge, Inc.",SRI,NYSE,CNY,77,FALSE
74,POSCO,PKX,NYSE,PAB,47,FALSE
75,Elbit Systems Ltd.,ESLT,NASDAQ,CNY,29,FALSE
76,"PhotoMedex, Inc.",PHMD,NASDAQ,ARS,73,FALSE
77,Annaly Capital Management Inc,NLY^E,NYSE,UGX,63,FALSE
78,Huntington Bancshares Incorporated,HBANN,NASDAQ,USD,31,FALSE
79,"Mesa Laboratories, Inc.",MLAB,NASDAQ,AMD,71,FALSE
80,"Equifax, Inc.",EFX,NYSE,CUP,32,FALSE
81,"Western Asset High Income Opportunity Fund, Inc.",HIO,NYSE,ETB,34,FALSE
82,Nuveen Multi-Market Income Fund,JMM,NYSE,EUR,35,FALSE
83,"American Airlines Group, Inc.",AAL,NASDAQ,MKD,16,FALSE
84,Mobileye N.V.,MBLY,NYSE,ARS,2,FALSE
85,XBiotech Inc.,XBIT,NASDAQ,EUR,27,FALSE
86,NXT-ID Inc.,NXTD,NASDAQ,UAH,70,FALSE
87,"The Bon-Ton Stores, Inc.",BONT,NASDAQ,CNY,36,FALSE
88,Government Properties Income Trust,GOVNI,NASDAQ,CNY,46,FALSE
89,"ProPhase Labs, Inc.",PRPH,NASDAQ,CNY,37,FALSE
90,Bank Of Montreal,BMO,NYSE,IDR,24,FALSE
91,Hingham Institution for Savings,HIFS,NASDAQ,IDR,40,FALSE
92,Ashland Global Holdings Inc.,ASH,NYSE,RUB,10,FALSE
93,Teekay LNG Partners L.P.,TGP,NYSE,CNY,38,FALSE
94,"Simon Property Group, Inc.",SPG,NYSE,PHP,39,FALSE
95,Arthur J. Gallagher & Co.,AJG,NYSE,PKR,58,FALSE
96,"Teligent, Inc.",TLGT,NASDAQ,SEK,81,FALSE
97,Jensyn Acquistion Corp.,JSYNU,NASDAQ,PEN,33,FALSE
98,Buenaventura Mining Company Inc.,BVN,NYSE,NZD,2,FALSE
99,CONSOL Energy Inc.,CNX,NYSE,EUR,28,FALSE
100,Vipshop Holdings Limited,VIPS,NYSE,AFN,46,FALSE
101,Aircastle Limited,AYR,NYSE,EUR,47,FALSE
102,"Cohen & Steers Infrastructure Fund, Inc",UTF,NYSE,BRL,45,FALSE
103,Aspen Insurance Holdings Limited,AHL^D,NYSE,XOF,96,FALSE
104,Voya Emerging Markets High Income Dividend Equity Fund,IHD,NYSE,CNY,53,FALSE
105,"MBIA, Inc.",MBI,NYSE,PHP,44,FALSE
106,"Dr Pepper Snapple Group, Inc",DPS,NYSE,PHP,58,FALSE
107,Icahn Enterprises L.P.,IEP,NASDAQ,COP,24,FALSE
108,KB Financial Group Inc,KB,NYSE,BDT,22,FALSE
109,Granite Real Estate Inc.,GRP.U,NYSE,BOB,35,FALSE
110,Fidelity Nasdaq Composite Index Tracking Stock,ONEQ,NASDAQ,BRL,28,FALSE
111,Gladstone Investment Corporation,GAINM,NASDAQ,CNY,59,FALSE
112,"Synthetic Fixed-Income Securities, Inc.",GJV,NYSE,PHP,88,FALSE
113,Rogers Corporation,ROG,NYSE,EUR,97,FALSE
114,Noodles & Company,NDLS,NASDAQ,IDR,29,FALSE
115,Navios Maritime Acquisition Corporation,NNA,NYSE,XOF,65,FALSE
116,Tekla Healthcare Investors,HQH,NYSE,EUR,3,FALSE
117,"New York Community Bancorp, Inc.",NYCB^U,NYSE,ARS,17,FALSE
118,Arconic Inc.,ARNC^B,NYSE,JPY,79,FALSE
119,Swift Transportation Company,SWFT,NYSE,IDR,28,FALSE
120,Southwestern Energy Company,SWNC,NYSE,BRL,16,FALSE
121,TEGNA Inc.,GCI,NYSE,EUR,59,FALSE
122,"pdvWireless, Inc.",PDVW,NASDAQ,GBP,89,FALSE
123,FirstService Corporation,FSV,NASDAQ,CNY,78,FALSE
124,"Ironwood Pharmaceuticals, Inc.",IRWD,NASDAQ,KES,60,FALSE
125,M&T Bank Corporation,MTB^C,NYSE,TZS,1,FALSE
126,"Fidelity National Financial, Inc.",FNFV,NYSE,USD,4,FALSE
127,"CF Industries Holdings, Inc.",CF,NYSE,EUR,2,FALSE
128,Quinpario Acquisition Corp. 2,QPACU,NASDAQ,IDR,11,FALSE
129,"Synopsys, Inc.",SNPS,NASDAQ,IDR,86,FALSE
130,New Mountain Finance Corporation,NMFC,NYSE,IDR,67,FALSE
131,Duke Realty Corporation,DRE,NYSE,PHP,23,FALSE
132,Cross Timbers Royalty Trust,CRT,NYSE,THB,30,FALSE
133,W.R. Grace & Co.,GRA,NYSE,CNY,68,FALSE
134,National General Holdings Corp,NGHCO,NASDAQ,BRL,76,FALSE
135,"Pfizer, Inc.",PFE,NYSE,MZN,38,FALSE
136,Equity Commonwealth,EQC,NYSE,UZS,44,FALSE
137,KKR & Co. L.P.,KKR,NYSE,EUR,90,FALSE
138,Kaman Corporation,KAMN,NYSE,JPY,36,FALSE
139,"ICU Medical, Inc.",ICUI,NASDAQ,IRR,12,FALSE
140,Stifel Financial Corporation,SF^A,NYSE,KRW,43,FALSE
141,First Trust Nasdaq Retail ETF,FTXD,NASDAQ,CNY,21,FALSE
142,Cherokee Inc.,CHKE,NASDAQ,CNY,99,FALSE
143,"Five Prime Therapeutics, Inc.",FPRX,NASDAQ,IDR,76,FALSE
144,Key Tronic Corporation,KTCC,NASDAQ,MMK,40,FALSE
145,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,GRID,NASDAQ,XPF,72,FALSE
146,"Highwoods Properties, Inc.",HIW,NYSE,CLP,2,FALSE
147,Pimco Income Opportunity Fund,PKO,NYSE,XCD,17,FALSE
148,"Lantheus Holdings, Inc.",LNTH,NASDAQ,SEK,61,FALSE
149,KKR & Co. L.P.,KKR,NYSE,CNY,45,FALSE
150,Colonial Investment Grade Municipal Trust,CXH,NYSE,VND,68,FALSE
151,Intel Corporation,INTC,NASDAQ,ETB,89,FALSE
152,American National Insurance Company,ANAT,NASDAQ,CNY,92,FALSE
153,Griffon Corporation,GFF,NYSE,PLN,71,FALSE
154,Allot Communications Ltd.,ALLT,NASDAQ,MKD,38,FALSE
